datetime_ist,open,high,low,close
2026-03-24 12:48:00+05:30,22976.150390625,22976.150390625,22976.150390625,22976.150390625
2026-03-24 12:49:00+05:30,22981.400390625,22981.400390625,22981.400390625,22981.400390625
2026-03-24 12:50:00+05:30,22993.80078125,22993.80078125,22993.80078125,22993.80078125
2026-03-24 12:51:00+05:30,22983.55078125,22983.55078125,22983.55078125,22983.55078125
2026-03-24 12:52:00+05:30,23003.099609375,23003.099609375,23003.099609375,23003.099609375
2026-03-24 12:53:00+05:30,23014.30078125,23014.30078125,23014.30078125,23014.30078125
2026-03-24 12:54:00+05:30,23012.400390625,23012.400390625,23012.400390625,23012.400390625
2026-03-24 12:55:00+05:30,23005.55078125,23005.55078125,23005.55078125,23005.55078125
2026-03-24 12:56:00+05:30,22969.55078125,22969.55078125,22969.55078125,22969.55078125
2026-03-24 12:57:00+05:30,22959.900390625,22959.900390625,22959.900390625,22959.900390625
2026-03-24 12:58:00+05:30,22969.55078125,22969.55078125,22969.55078125,22969.55078125
2026-03-24 12:59:00+05:30,22974.55078125,22974.55078125,22974.55078125,22974.55078125
2026-03-24 13:00:00+05:30,22979.099609375,22979.099609375,22979.099609375,22979.099609375
2026-03-24 13:01:00+05:30,22976.5,22976.5,22976.5,22976.5
2026-03-24 13:02:00+05:30,22957.30078125,22957.30078125,22957.30078125,22957.30078125
2026-03-24 13:03:00+05:30,22943.75,22943.75,22943.75,22943.75
2026-03-24 13:04:00+05:30,22944.400390625,22944.400390625,22944.400390625,22944.400390625
2026-03-24 13:05:00+05:30,22936.55078125,22936.55078125,22936.55078125,22936.55078125
2026-03-24 13:06:00+05:30,22919.30078125,22919.30078125,22919.30078125,22919.30078125
2026-03-24 13:07:00+05:30,22940.599609375,22940.599609375,22940.599609375,22940.599609375
2026-03-24 13:08:00+05:30,22947.349609375,22947.349609375,22947.349609375,22947.349609375
2026-03-24 13:09:00+05:30,22943.55078125,22943.55078125,22943.55078125,22943.55078125
2026-03-24 13:10:00+05:30,22943.05078125,22943.05078125,22943.05078125,22943.05078125
2026-03-24 13:11:00+05:30,22969.5,22969.5,22969.5,22969.5
2026-03-24 13:12:00+05:30,22962.099609375,22962.099609375,22962.099609375,22962.099609375
2026-03-24 13:13:00+05:30,22974.900390625,22974.900390625,22974.900390625,22974.900390625
2026-03-24 13:14:00+05:30,22988.0,22988.0,22988.0,22988.0
2026-03-24 13:15:00+05:30,22963.80078125,22963.80078125,22963.80078125,22963.80078125
2026-03-24 13:16:00+05:30,22973.55078125,22973.55078125,22973.55078125,22973.55078125
2026-03-24 13:17:00+05:30,22973.5,22984.25,22970.25,22982.349609375
2026-03-24 13:19:00+05:30,22984.0,22984.0,22984.0,22984.0
2026-03-24 13:20:00+05:30,22976.900390625,22976.900390625,22976.900390625,22976.900390625
2026-03-24 13:21:00+05:30,22989.099609375,22989.099609375,22989.099609375,22989.099609375
2026-03-24 13:22:00+05:30,23000.05078125,23000.05078125,23000.05078125,23000.05078125
2026-03-24 13:23:00+05:30,23009.849609375,23009.849609375,23009.849609375,23009.849609375
2026-03-24 13:24:00+05:30,23009.349609375,23009.349609375,23009.349609375,23009.349609375
2026-03-24 13:25:00+05:30,22987.94921875,22987.94921875,22987.94921875,22987.94921875
2026-03-24 13:26:00+05:30,23001.30078125,23001.30078125,23001.30078125,23001.30078125
2026-03-24 13:27:00+05:30,23016.30078125,23016.30078125,23016.30078125,23016.30078125
2026-03-24 13:28:00+05:30,23013.30078125,23013.30078125,23013.30078125,23013.30078125
2026-03-24 13:29:00+05:30,23014.099609375,23014.099609375,23014.099609375,23014.099609375
2026-03-24 13:30:00+05:30,23003.25,23003.25,23003.25,23003.25
2026-03-24 13:31:00+05:30,23026.650390625,23026.650390625,23026.650390625,23026.650390625
2026-03-24 13:32:00+05:30,23029.94921875,23029.94921875,23029.94921875,23029.94921875
2026-03-24 13:33:00+05:30,23031.55078125,23031.55078125,23031.55078125,23031.55078125
2026-03-24 13:34:00+05:30,23035.44921875,23035.44921875,23035.44921875,23035.44921875
2026-03-24 13:35:00+05:30,23035.44921875,23035.44921875,23035.44921875,23035.44921875
2026-03-24 13:36:00+05:30,23051.599609375,23051.599609375,23051.599609375,23051.599609375
2026-03-24 13:37:00+05:30,23053.900390625,23053.900390625,23053.900390625,23053.900390625
2026-03-24 13:38:00+05:30,23033.0,23033.0,23033.0,23033.0
2026-03-24 13:39:00+05:30,23029.849609375,23029.849609375,23029.849609375,23029.849609375
2026-03-24 13:40:00+05:30,23038.05078125,23038.05078125,23038.05078125,23038.05078125
2026-03-24 13:41:00+05:30,23031.69921875,23031.69921875,23031.69921875,23031.69921875
2026-03-24 13:42:00+05:30,23043.650390625,23043.650390625,23043.650390625,23043.650390625
2026-03-24 13:43:00+05:30,23042.44921875,23042.44921875,23042.44921875,23042.44921875
2026-03-24 13:44:00+05:30,23036.349609375,23036.349609375,23036.349609375,23036.349609375
2026-03-24 13:45:00+05:30,23031.94921875,23031.94921875,23031.94921875,23031.94921875
2026-03-24 13:46:00+05:30,23041.44921875,23041.44921875,23041.44921875,23041.44921875
2026-03-24 13:47:00+05:30,23020.5,23020.5,23020.5,23020.5
2026-03-24 13:48:00+05:30,22998.650390625,22998.650390625,22998.650390625,22998.650390625
2026-03-24 13:49:00+05:30,22970.150390625,22970.150390625,22970.150390625,22970.150390625
2026-03-24 13:50:00+05:30,22975.599609375,22975.599609375,22975.599609375,22975.599609375
2026-03-24 13:51:00+05:30,22957.30078125,22957.30078125,22957.30078125,22957.30078125
2026-03-24 13:52:00+05:30,22977.099609375,22977.099609375,22977.099609375,22977.099609375
2026-03-24 13:53:00+05:30,22991.44921875,22991.44921875,22991.44921875,22991.44921875
2026-03-24 13:54:00+05:30,22973.25,22973.25,22973.25,22973.25
2026-03-24 13:55:00+05:30,22975.400390625,22975.400390625,22975.400390625,22975.400390625
2026-03-24 13:56:00+05:30,22975.30078125,22996.55078125,22974.30078125,22982.150390625
2026-03-24 13:58:00+05:30,22992.900390625,22992.900390625,22992.900390625,22992.900390625
2026-03-24 13:59:00+05:30,22983.75,22983.75,22983.75,22983.75
2026-03-24 14:00:00+05:30,22973.44921875,22973.44921875,22973.44921875,22973.44921875
2026-03-24 14:01:00+05:30,22977.900390625,22977.900390625,22977.900390625,22977.900390625
2026-03-24 14:02:00+05:30,22989.94921875,22989.94921875,22989.94921875,22989.94921875
2026-03-24 14:03:00+05:30,22983.30078125,22983.30078125,22983.30078125,22983.30078125
2026-03-24 14:04:00+05:30,22975.55078125,22975.55078125,22975.55078125,22975.55078125
2026-03-24 14:05:00+05:30,22976.05078125,22976.05078125,22976.05078125,22976.05078125
2026-03-24 14:06:00+05:30,22986.94921875,22986.94921875,22986.94921875,22986.94921875
2026-03-24 14:07:00+05:30,22986.150390625,22986.150390625,22986.150390625,22986.150390625
2026-03-24 14:08:00+05:30,22987.19921875,22987.19921875,22987.19921875,22987.19921875
